z_daughter,a_daughter,element_daughter,z_parent,z_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
49,128,In,94,239,Pu,-3,0.00080203,0.00020712,0.0010662,0.00041635,,,2024-08-21
27,68,Co,94,239,Pu,-2,0.0000000046442,0.0000000013955,0.000000021551,0.0000000054297,,,2024-08-21
30,73,Zn,94,239,Pu,-2,0.00000086671,0.00000016752,0.0000016988,0.00000038344,,,2024-08-21
31,72,Ga,94,239,Pu,-2,0.000000038934,0.0000000084975,0.00000011537,0.000000024696,,,2024-08-21
33,84,As,94,239,Pu,-2,0.00032586,0.00010819,0.00074099,0.0001543,,,2024-08-21
37,90,Rb,94,239,Pu,-2,0.0071023,0.00099308,0.006633,0.0010035,,,2024-08-21
37,96,Rb,94,239,Pu,-2,0.00024308,0.000085016,0.00032182,0.0001133,,,2024-08-21
39,88,Y,94,239,Pu,-2,0.00000000056198,0.00000000020197,0.000000000049435,0.000000000017603,,,2024-08-21
39,90,Y,94,239,Pu,-2,0.00000088729,0.00000032729,0.00000019096,0.000000070349,,,2024-08-21
39,102,Y,94,239,Pu,-2,0.000065541,0.000024583,0.000085271,0.000033625,,,2024-08-21
40,90,Zr,94,239,Pu,-2,0.00000000037159,0.00000000013135,0.000000000022023,0.0000000000069701,,,2024-08-21
44,113,Ru,94,239,Pu,-2,0.00009961,0.00002638,0.00013353,0.000042189,,,2024-08-21
45,108,Rh,94,239,Pu,-2,0.00073645,0.00026492,0.00036922,0.00025153,,,2024-08-21
45,112,Rh,94,239,Pu,-2,0.00024892,0.000052842,0.00028786,0.000070705,,,2024-08-21
46,117,Pd,94,239,Pu,-2,0.00011926,0.000022372,0.00013644,0.000042588,,,2024-08-21
47,114,Ag,94,239,Pu,-2,0.0000092553,0.0000032876,0.000018834,0.0000074442,,,2024-08-21
